municipio,razao_dependencia,pop_0_14,pop_15_64,pop_65mais
RIO BOM,49.90983,673,2218,434
ALTAMIRA DO PARANÁ,50.473186,1062,2853,378
DIAMANTE DO NORTE,46.96929,1169,3745,590
SANTA LÚCIA,52.0979,915,2574,426
NOVA AURORA,43.301086,2420,8270,1161
RANCHO ALEGRE,47.140186,806,2675,455
PIRAÍ DO SUL,51.736427,6077,15434,1908
SÃO MANOEL DO PARANÁ,44.213444,431,1443,207
SÃO MATEUS DO SUL,46.001347,10262,28247,2732
SÃO TOMÉ,42.628204,1159,3744,437
TUPÃSSI,47.645428,1720,5415,860
AMPÉRE,46.943455,4182,11778,1347
ANAHY,50.02622,649,1907,305
CASTRO,52.297493,18708,44048,4328
SÃO PEDRO DO IGUAÇU,47.70914,1447,4387,646
QUEDAS DO IGUAÇU,52.168938,8487,20102,2000
PEABIRU,46.037533,3070,9325,1223
CERRO AZUL,57.416534,4931,10753,1243
PINHÃO,56.64488,9295,19278,1625
NOVO ITACOLOMI,44.923077,546,1950,330
RIO BRANCO DO SUL,48.70152,8441,20601,1592
IMBITUVA,48.72693,7581,19127,1739
PATO BRANCO,40.923782,16184,51354,4832
SÃO JOÃO DO CAIUÁ,49.115715,1384,3958,560
SANTANA DO ITARARÉ,49.543118,1248,3502,487
TEIXEIRA SOARES,51.22848,2768,6797,714
CARAMBEÍ,49.026936,5409,12846,889
JAGUARIAÍVA,47.472965,8587,22101,1905
IBEMA,49.938133,1562,4041,456
GUARANIAÇU,49.252357,3454,9764,1355
PORTO VITÓRIA,51.249054,1023,2642,331
ARAPUÃ,51.51257,788,2347,421
PITANGUEIRAS,45.506493,665,1925,211
ADRIANÓPOLIS,61.651844,1769,3935,657
IVAIPORÃ,45.65934,6649,21840,3323
INAJÁ,47.8369,677,2011,285
ARAPONGAS,41.215473,21971,73749,8425
VIRMOND,47.80158,963,2661,309
JABOTI,46.668667,1116,3332,439
SANTO INÁCIO,42.620728,1084,3686,487
DOURADINA,43.895348,1594,5160,671
PÉROLA,43.81959,1910,7095,1199
MANDAGUARI,43.01485,6655,22827,3164
ITAGUAJÉ,48.968903,1081,3055,415
PATO BRAGADO,45.600243,1033,3307,475
GUAÍRA,48.0708,7441,20734,2526
CRUZEIRO DO IGUAÇU,49.298244,1052,2850,353
CHOPINZINHO,46.373577,4615,13443,1619
PORTO AMAZONAS,47.784706,1131,3047,325
ASTORGA,42.91587,4945,17271,2467
CAMPO MAGRO,45.307198,6494,17090,1249
RONDON,45.53557,2028,6171,782
LOBATO,41.736603,931,3098,362
JANIÓPOLIS,47.191517,1362,4433,730
FAROL,48.54077,823,2330,308
REBOUÇAS,49.026623,3545,9503,1114
GUARATUBA,49.385418,8265,21478,2342
RIO BRANCO DO IVAÍ,54.022987,1069,2523,294
INDIANÓPOLIS,46.164337,886,2933,468
MARINGÁ,36.49201,66536,261597,28926
COLOMBO,44.48387,55844,147395,9723
CONTENDA,47.143917,4025,10784,1059
NOVA AMÉRICA DA COLINA,46.596195,812,2365,290
SAUDADE DO IGUAÇU,51.493214,1322,3315,385
SERTANÓPOLIS,43.15809,3220,10918,1492
CONGONHINHAS,50.217945,1929,5506,836
SIQUEIRA CAMPOS,44.80025,4042,12741,1666
LAPA,46.01658,10835,30765,3322
DIAMANTE D'OESTE,53.054367,1307,3274,430
MANDAGUAÇU,43.54265,4362,13775,1636
CAFEARA,44.20601,570,1864,254
VERA CRUZ DO OESTE,49.67462,2013,5993,964
IBAITI,48.442745,6915,19361,2464
PIRAQUARA,45.84096,25485,63897,3806
PAULA FREITAS,46.81081,1259,3700,473
CONSELHEIRO MAIRINCK,48.001633,827,2452,350
NOVA PRATA DO IGUAÇU,46.29055,2381,7090,901
CAMPINA DO SIMÃO,53.41638,1183,2649,232
CAMPO LARGO,41.75465,26246,79275,6855
PITANGA,47.68242,8109,22092,2425
CURIÚVA,50.67663,3515,9237,1166
ALTÔNIA,47.397556,4408,13910,2185
TAMBOARA,42.699387,927,3260,465
SALGADO FILHO,51.64303,1083,2891,410
ANTÔNIO OLINTO,48.283524,1711,4952,680
SALTO DO LONTRA,45.04982,3168,9434,1082
MARILENA,48.49208,1573,4609,662
GUARAQUEÇABA,56.315895,2214,5027,617
MARIÓPOLIS,44.11697,1378,4343,538
LARANJEIRAS DO SUL,48.99719,7741,20642,2373
TOLEDO,39.43063,25584,85568,8156
SÃO JOÃO,45.14137,2245,7286,1044
CAPITÃO LEÔNIDAS MARQUES,47.69565,3552,10133,1281
SAPOPEMA,51.179512,1746,4451,532
OURIZONA,42.30606,652,2359,346
BOM JESUS DO SUL,53.57143,915,2464,405
RIO NEGRO,46.24199,7622,21381,2265
CANDÓI,50.892586,4225,9915,821
RAMILÂNDIA,51.431717,1109,2724,292
CORONEL DOMINGOS SOARES,53.76756,2170,4698,356
NOVA OLÍMPIA,46.359028,1098,3749,640
ANDIRÁ,44.27171,4271,14280,2051
ARAPOTI,48.34137,6807,17424,1616
LIDIANÓPOLIS,46.16236,761,2710,490
TUNAS DO PARANÁ,60.0822,2098,3893,241
SANTA FÉ,42.334473,2092,7325,1009
IVAÍ,52.4756,3470,8402,939
APUCARANA,42.68031,26003,84744,10166
IRATI,43.957676,12713,39033,4445
MALLET,44.77595,2885,8949,1122
PEROBAL,45.44751,1215,3877,547
BORRAZÓPOLIS,45.114307,1491,5424,956
MEDIANEIRA,40.832687,9179,29687,2943
DOUTOR CAMARGO,44.111824,1033,4042,750
SERTANEJA,45.749496,1163,3976,656
JARDIM OLINDA,44.780792,307,958,122
RONCADOR,48.086308,2719,7786,1025
SALTO DO ITARARÉ,46.59671,1077,3526,566
BRASILÂNDIA DO SUL,46.407322,658,2185,356
MARIALVA,41.274544,6622,22612,2711
ENÉAS MARQUES,45.82436,1403,4179,512
SANTA IZABEL DO OESTE,47.157753,2994,8919,1212
ABATIÁ,45.401653,1667,5328,752
RIO AZUL,47.78139,3495,9533,1060
PARAÍSO DO NORTE,43.33577,2569,8208,988
CÂNDIDO DE ABREU,52.785683,4422,10895,1329
SÃO MIGUEL DO IGUAÇU,45.34936,6038,17718,1997
SANTO ANTÔNIO DA PLATINA,47.372963,10051,28968,3672
CAMBÉ,42.554382,21270,67852,7604
URAÍ,48.00671,2347,7751,1374
PRESIDENTE CASTELO BRANCO,44.380665,1123,3310,346
CURITIBA,37.983353,349960,1269651,132296
TIBAGI,55.910336,5586,12402,1348
NOVA TEBAS,52.026333,1788,4861,741
SANTO ANTÔNIO DO CAIUÁ,47.637154,586,1841,291
CANTAGALO,54.31466,3695,8390,862
VITORINO,47.728306,1517,4402,584
MARMELEIRO,47.85387,3311,9389,1182
CRUZEIRO DO OESTE,45.526543,4266,14016,2115
MATO RICO,46.423077,900,2600,307
CAFEZAL DO SUL,46.14071,857,2928,494
UMUARAMA,40.301605,20295,71749,8621
IPORÃ,48.871433,3164,10057,1751
IGUARAÇU,40.623894,831,2821,315
PRADO FERREIRA,44.35995,767,2367,283
PRANCHITA,43.95999,1162,3899,552
MANFRINÓPOLIS,51.727493,812,2055,251
UNIFLOR,45.309734,538,1695,230
CRUZMALTINA,43.998173,641,2191,323
ALTO PARAÍSO,48.60595,757,2152,289
ASSIS CHATEAUBRIAND,45.0202,6731,22772,3521
DOIS VIZINHOS,41.933586,8226,25476,2457
NOVA CANTU,49.20475,1803,4967,641
ITAIPULÂNDIA,44.037724,2112,6256,643
GOIOERÊ,45.50652,6348,19940,2726
SANTA MARIANA,46.204544,2476,8497,1450
SANTA ISABEL DO IVAÍ,47.11716,1748,5949,1055
SÃO JOÃO DO TRIUNFO,48.5141,3630,9220,843
PONTA GROSSA,45.877808,76548,213600,21447
LUPIONÓPOLIS,48.25016,989,3086,500
LOANDA,44.58399,4676,14651,1856
FERNANDES PINHEIRO,49.734783,1585,3959,384
PINHALÃO,46.413403,1394,4238,573
CLEVELÂNDIA,54.031826,4534,11186,1510
TIJUCAS DO SUL,52.051067,3821,9556,1153
GODOY MOREIRA,47.64235,710,2248,361
SANTA MARIA DO OESTE,52.240784,3111,7542,829
SARANDI,43.140305,19929,57867,5035
BOCAIÚVA DO SUL,54.0643,3090,7123,761
LONDRINA,41.7627,105275,357429,43997
PALMEIRA,46.151394,7828,21969,2311
FOZ DO JORDÃO,56.411,1612,3455,337
MANGUEIRINHA,51.144226,4679,11274,1087
MANOEL RIBAS,50.76288,3400,8717,1025
FLORESTÓPOLIS,44.228542,2542,7771,895
CAMPO DO TENENTE,52.64851,2037,4663,418
IPIRANGA,50.164528,3821,9421,905
CORONEL VIVIDA,46.92401,4886,14792,2055
PAIÇANDU,41.6164,8168,25365,2388
BRAGANEY,49.050716,1327,3845,559
JANDAIA DO SUL,44.191505,4028,14057,2184
CENTENÁRIO DO SUL,44.858845,2346,7722,1118
CAMBIRA,42.215214,1469,5074,673
BOA VISTA DA APARECIDA,55.9178,2059,5061,771
FAXINAL,49.54137,3856,10902,1545
